komentar,komentar_bersih,setelah_preprocesing,setelah_normalisasi,setelah_normalisasi1
"harus ada kerja sama para pejabat nya harus jujur jujurlah ,kadang aku bingung pejabat tau hutang negara banyak tp kenapa ko sempat sempat nya korupsi begitu besar lagi malah ada yg triliunan,uang itu kan bisa dipake nyicil utang atuh,,jangan slalu nekan ke rakyat,sedangkan pejabat pejabat nya banyak tuntutan,minta anggaran segala tetek benyek ,sehingga utang negara yg begitu penting nya terabaikan ,,ujung ujung nya rakyat lagi yg nanggung segala pada naik😅😅😅",harus ada kerja sama para pejabat nya harus jujur jujurlah kadang aku bingung pejabat tau hutang negara banyak tp kenapa ko sempat sempat nya korupsi begitu besar lagi malah ada yg triliunanuang itu kan bisa dipake nyicil utang atuhjangan slalu nekan ke rakyatsedangkan pejabat pejabat nya banyak tuntutanminta anggaran segala tetek benyek sehingga utang negara yg begitu penting nya terabaikan ujung ujung nya rakyat lagi yg nanggung segala pada naik,kerja pejabat nya jujur jujurlah kadang bingung pejabat tau hutang negara tp ko nya korupsi yg triliunanuang dipake nyicil utang atuhjangan slalu nekan rakyatsedangkan pejabat pejabat nya tuntutanminta anggaran tetek benyek utang negara yg nya terabaikan ujung ujung nya rakyat yg nanggung,kerja jabat nya jujur jujur kadang bingung jabat tau hutang negara tp ko nya korupsi yg triliunanuang dipake nyicil utang atuhjangan slalu nekan rakyatsedangkan jabat jabat nya tuntutanminta anggar tetek benyek utang negara yg nya abai ujung ujung nya rakyat yg nanggung,kerja jabat jujur jujur kadang bingung jabat tau hutang negara ko korupsi triliunanuang dipake nyicil utang atuhjangan slalu nekan rakyatsedangkan jabat jabat tuntutanminta anggar tetek benyek utang negara abai ujung ujung rakyat nanggung
kemiskinan ada itu karna ulah pejabat2 serta dpr jg cuma suka merampok uang negara,kemiskinan ada itu karna ulah pejabat2 serta dpr jg cuma suka merampok uang negara,kemiskinan karna ulah pejabat2 dpr jg suka merampok uang negara,miskin karna ulah pejabat2 dpr jg suka rampok uang negara,miskin karna ulah pejabat2 dpr jg suka rampok uang negara
saya yakin menkeu yg baru akan membawa perubahan baik,saya yakin menkeu yg baru akan membawa perubahan baik,menkeu yg membawa perubahan,menkeu yg bawa ubah,menkeu bawa ubah
"sy liat anggota dpr ini ngomong,,malah mau ketawa 😂😂😂😂😂😂😂😂",sy liat anggota dpr ini ngomongmalah mau ketawa,sy liat anggota dpr ngomongmalah ketawa,sy liat anggota dpr ngomongmalah ketawa,liat anggota dpr ngomongmalah ketawa
dpr cuman omon omon doang..kerja d lapangan nol,dpr cuman omon omon doangkerja d lapangan nol,dpr cuman omon omon doangkerja d lapangan nol,dpr cuman omon omon doangkerja d lapang nol,dpr cuman omon omon doangkerja d lapang nol
"masukan saja dr 77.000 karyawan di pelajari lagi apakah semua masih effektive di masing2 wilayah dan pusat,  opex  gaji dan pengeluaran 2  lainya , + kemasukan selain pajak dan mungkin ada korup2 bisa tuntaskan,


semua instansi juga di cek n ricek ,jangan hanya dpr dan dprd saja sehingga mungkin selama ini lepas kontrol cek n ricek sehingga menjaga kebocoran2 , sehingga bila ada dana yg tdk efisiensi bisa di gunakan utk mengangkat ekin mi dan beban utang bisa turun",masukan saja dr 77000 karyawan di pelajari lagi apakah semua masih effektive di masing2 wilayah dan pusat opex gaji dan pengeluaran 2 lainya kemasukan selain pajak dan mungkin ada korup2 bisa tuntaskan semua instansi juga di cek n ricek jangan hanya dpr dan dprd saja sehingga mungkin selama ini lepas kontrol cek n ricek sehingga menjaga kebocoran2 sehingga bila ada dana yg tdk efisiensi bisa di gunakan utk mengangkat ekin mi dan beban utang bisa turun,masukan dr 77000 karyawan pelajari effektive masing2 wilayah pusat opex gaji pengeluaran 2 lainya kemasukan pajak korup2 tuntaskan instansi cek n ricek dpr dprd lepas kontrol cek n ricek menjaga kebocoran2 dana yg tdk efisiensi utk mengangkat ekin mi beban utang turun,masuk dr 77000 karyawan ajar effektive masing2 wilayah pusat opex gaji keluar 2 lai masuk pajak korup2 tuntas instansi cek n ricek dpr dprd lepas kontrol cek n ricek jaga kebocoran2 dana yg tdk efisiensi utk angkat ekin mi beban utang turun,masuk 77000 karyawan ajar effektive masing2 wilayah pusat opex gaji 2 lai masuk pajak korup2 tuntas instansi cek n ricek dpr dprd lepas kontrol cek n ricek jaga kebocoran2 dana efisiensi utk angkat ekin mi beban utang turun
"dpr cuma kerja kayak gitu aja gaji sama tunjangan perbulan 2 miliar lebih !!  sangat berlebihan , utang sangat tinggi kan termasuk buat dpr. saya abrorry adams",dpr cuma kerja kayak gitu aja gaji sama tunjangan perbulan 2 miliar lebih sangat berlebihan utang sangat tinggi kan termasuk buat dpr saya abrorry adams,dpr kerja kayak gitu aja gaji tunjangan perbulan 2 miliar utang dpr abrorry adams,dpr kerja kayak gitu aja gaji tunjang bulan 2 miliar utang dpr abrorry adams,dpr kerja kayak gitu gaji tunjang 2 miliar utang dpr abrorry adams
dpr  gaji harus nya 10 kali umr di masing masing  lokasi  dpr ri 10 kali umr jakarta,dpr gaji harus nya 10 kali umr di masing masing lokasi dpr ri 10 kali umr jakarta,dpr gaji nya 10 kali umr lokasi dpr ri 10 kali umr jakarta,dpr gaji nya 10 kali umr lokasi dpr ri 10 kali umr jakarta,dpr gaji 10 kali umr lokasi dpr ri 10 kali umr jakarta
"jgn selalu bunga dan hutang negara menjadi alasan anggaran  berkurang .utk kedepannya bila ingin berhutang harus  kasih tahu rakyat dan harus dapat restu dari rakyat ,berapa besar hutang,alasan berhutang dan bunga nya.🙏dan transparan kemana saja uang nya digunakan.",jgn selalu bunga dan hutang negara menjadi alasan anggaran berkurang utk kedepannya bila ingin berhutang harus kasih tahu rakyat dan harus dapat restu dari rakyat berapa besar hutangalasan berhutang dan bunga nyadan transparan kemana saja uang nya digunakan,jgn bunga hutang negara alasan anggaran berkurang utk kedepannya berhutang kasih rakyat restu rakyat hutangalasan berhutang bunga nyadan transparan kemana uang nya,jgn bunga hutang negara alas anggar kurang utk depan hutang kasih rakyat restu rakyat hutangalasan hutang bunga nyadan transparan mana uang nya,bunga hutang negara alas anggar utk hutang kasih rakyat restu rakyat hutangalasan hutang bunga nyadan transparan uang
"di saya membuka lapangan kerja bagi tukang masak/chef, tukang packaging, ob. buka lapangan kerja",di saya membuka lapangan kerja bagi tukang masakchef tukang packaging ob buka lapangan kerja,membuka lapangan kerja tukang masakchef tukang packaging ob buka lapangan kerja,buka lapang kerja tukang masakchef tukang packaging ob buka lapang kerja,buka lapang kerja tukang masakchef tukang packaging ob buka lapang kerja
tapi usaha kecil mati blok ​ @genius_id ,tapi usaha kecil mati blok ​ geniusid,usaha mati blok ​ geniusid,usaha mati blok geniusid,usaha mati blok geniusid
kapan perlu di copot yg tidak capable,kapan perlu di copot yg tidak capable,copot yg capable,copot yg capable,copot capable
amiin,amiin,amiin,amiin,amiin
sama wooeee 😂😂😂,sama wooeee,wooeee,wooeee,wooeee
di depan ngomong gede di belakang nego lagi cari cuan 😂😂😅,di depan ngomong gede di belakang nego lagi cari cuan,ngomong gede nego cari cuan,ngomong gede nego cari cuan,ngomong gede nego cari cuan
kl onlain ya gini sok kerja semua kl offlain tidur mimpi indah,kl onlain ya gini sok kerja semua kl offlain tidur mimpi indah,kl onlain ya gini sok kerja kl offlain tidur mimpi indah,kl onlain ya gin sok kerja kl offlain tidur mimpi indah,kl onlain ya gin kerja kl offlain tidur mimpi indah
lah dpr emang bagian legislatif. bukan eksekutuif.,lah dpr emang bagian legislatif bukan eksekutuif,dpr emang legislatif eksekutuif,dpr emang legislatif eksekutuif,dpr emang legislatif eksekutuif
"peran dpd gak kelihatan, bisa dilakukan efisiensi dg menghapus dpd di lembaga leguslatif",peran dpd gak kelihatan bisa dilakukan efisiensi dg menghapus dpd di lembaga leguslatif,peran dpd gak efisiensi dg menghapus dpd lembaga leguslatif,peran dpd gak efisiensi dg hapus dpd lembaga leguslatif,peran dpd gak efisiensi hapus dpd lembaga leguslatif
"rapat isinya drama2 klasik buat apa, di blkng layar ""berteman baik""",rapat isinya drama2 klasik buat apa di blkng layar berteman baik,rapat isinya drama2 klasik blkng layar berteman,rapat isi drama2 klasik blkng layar teman,rapat isi drama2 klasik blkng layar teman
"emang apa kemampuan nya dpr? kalian saja cuma bisa menghabiskan uang rakyat dengan membiayai ani-ani kalian dan jalan2 keluar negeri. baru 2 hari jadi menteri apa kalian mau kasi pak purbaya shock teraphy? nampaknya ini kroni2 nya srimul tuh, kenapa anda2 malah pesimis dgn indonesia? kalian2 di dpr itu makelar proyek, kalo gak masuk kantong kalian pst bisa apbn positif.",emang apa kemampuan nya dpr kalian saja cuma bisa menghabiskan uang rakyat dengan membiayai aniani kalian dan jalan2 keluar negeri baru 2 hari jadi menteri apa kalian mau kasi pak purbaya shock teraphy nampaknya ini kroni2 nya srimul tuh kenapa anda2 malah pesimis dgn indonesia kalian2 di dpr itu makelar proyek kalo gak masuk kantong kalian pst bisa apbn positif,emang kemampuan nya dpr menghabiskan uang rakyat membiayai aniani jalan2 negeri 2 menteri kasi purbaya shock teraphy nampaknya kroni2 nya srimul tuh anda2 pesimis dgn indonesia kalian2 dpr makelar proyek kalo gak masuk kantong pst apbn positif,emang mampu nya dpr habis uang rakyat biaya aniani jalan2 negeri 2 menteri kasi purbaya shock teraphy nampaknya kroni2 nya srimul tuh anda2 pesimis dgn indonesia kalian2 dpr makelar proyek kalo gak masuk kantong pst apbn positif,emang dpr habis uang rakyat biaya aniani jalan2 negeri 2 menteri kasi purbaya shock teraphy nampaknya kroni2 srimul tuh anda2 pesimis indonesia kalian2 dpr makelar proyek kalo gak masuk kantong pst apbn positif
"mantap mentri tolong segerah di perbaiki keuangan , jangan nambah2 hutang",mantap mentri tolong segerah di perbaiki keuangan jangan nambah2 hutang,mantap mentri tolong segerah perbaiki keuangan nambah2 hutang,mantap tri tolong gerah baik uang nambah2 hutang,mantap tri tolong gerah uang nambah2 hutang
kalou rapat kelihatan garang ujung ujung ya sama lagu lama dan tahu sama tahu,kalou rapat kelihatan garang ujung ujung ya sama lagu lama dan tahu sama tahu,kalou rapat garang ujung ujung ya lagu,kalou rapat garang ujung ujung ya lagu,kalou rapat garang ujung ujung ya lagu
berapa pemasukan negara dari hasil tambang? utk daerah yg punya tambang mungkin mereka sudah mendapat persen nya utk daerah mereka dan sekian persen utk stor kenegara.yg guna nya utk menolong daerah yg pendapatannya terbatas dan tidak ada punya tambang.dan begitu daerah harus juga transparan berapa anggaran yg diterima dari negara dan berapa pendapatan dari hasil tambang dll.,berapa pemasukan negara dari hasil tambang utk daerah yg punya tambang mungkin mereka sudah mendapat persen nya utk daerah mereka dan sekian persen utk stor kenegarayg guna nya utk menolong daerah yg pendapatannya terbatas dan tidak ada punya tambangdan begitu daerah harus juga transparan berapa anggaran yg diterima dari negara dan berapa pendapatan dari hasil tambang dll,pemasukan negara hasil tambang utk daerah yg tambang persen nya utk daerah sekian persen utk stor kenegarayg nya utk menolong daerah yg pendapatannya terbatas tambangdan daerah transparan anggaran yg diterima negara pendapatan hasil tambang dll,pasu negara hasil tambang utk daerah yg tambang persen nya utk daerah sekian persen utk stor kenegarayg nya utk tolong daerah yg dapat batas tambangdan daerah transparan anggar yg terima negara dapat hasil tambang dll,pasu negara hasil tambang utk daerah tambang persen utk daerah sekian persen utk stor kenegarayg utk tolong daerah batas tambangdan daerah transparan anggar terima negara hasil tambang dll
ini lah kalou dpr kalou rapat bahas duit cengas cengesis,ini lah kalou dpr kalou rapat bahas duit cengas cengesis,kalou dpr kalou rapat bahas duit cengas cengesis,kalou dpr kalou rapat bahas duit cengas cengesis,kalou dpr kalou rapat bahas duit cengas cengesis
bukan cuma pak menteri yg disuruh efisiensi dpr jgk lakukan efisiensi dalam segala hal  biar bersinergi untuk rakyat,bukan cuma pak menteri yg disuruh efisiensi dpr jgk lakukan efisiensi dalam segala hal biar bersinergi untuk rakyat,menteri yg disuruh efisiensi dpr jgk lakukan efisiensi biar bersinergi rakyat,menteri yg suruh efisiensi dpr jgk laku efisiensi biar sinergi rakyat,menteri suruh efisiensi dpr jgk laku efisiensi biar sinergi rakyat
komisi xii ini yg kemarin ketangkep jalan2 dia australia kan?  kok bisa ngomongin soal efisiensi anggaran? ngelawak ya pak atau biar dibilang kerja? 😂,komisi xii ini yg kemarin ketangkep jalan2 dia australia kan kok bisa ngomongin soal efisiensi anggaran ngelawak ya pak atau biar dibilang kerja,komisi xii yg kemarin ketangkep jalan2 australia ngomongin efisiensi anggaran ngelawak ya biar dibilang kerja,komisi xii yg kemarin ketangkep jalan2 australia ngomongin efisiensi anggar ngelawak ya biar bilang kerja,komisi xii kemarin ketangkep jalan2 australia ngomongin efisiensi anggar ngelawak ya biar bilang kerja
"coba beri waktu dlu menkeu baru utk bekerja , terus dewan2 ini hanya  mencercakan tidak motivasi bmgn sama2 membangun nkri yang lebih baik",coba beri waktu dlu menkeu baru utk bekerja terus dewan2 ini hanya mencercakan tidak motivasi bmgn sama2 membangun nkri yang lebih baik,coba dlu menkeu utk dewan2 mencercakan motivasi bmgn sama2 membangun nkri,coba dlu menkeu utk dewan2 cerca motivasi bmgn sama2 bangun nkri,coba dlu menkeu utk dewan2 cerca motivasi bmgn sama2 bangun nkri
kalian mau rapat 1 bulan juga..kalau korupsi trus ada jangan harap bisa baik,kalian mau rapat 1 bulan jugakalau korupsi trus ada jangan harap bisa baik,rapat 1 jugakalau korupsi trus harap,rapat 1 jugakalau korupsi trus harap,rapat 1 jugakalau korupsi trus harap
menteri yg mencela rakyat begitu juga dengan anaknya yg sombong,menteri yg mencela rakyat begitu juga dengan anaknya yg sombong,menteri yg mencela rakyat anaknya yg sombong,menteri yg cela rakyat anak yg sombong,menteri cela rakyat anak sombong
3:04 haaah??? pengangguran turun? ckck,304 haaah pengangguran turun ckck,304 haaah pengangguran turun ckck,304 haaah anggur turun ckck,304 haaah anggur turun ckck
"tiap anggaran yg dikeluarkan harus benar diawasi,jgn sampai pengeluaran yg cukup besar tidak sesuai dg hasil dan tiap tahun itu itu saja yg harus dianggarkan dan  diperbaiki.contoh nya utk pembangunan jalan.belum setahun sudah rusak,thn besok dianggarkan lagi utk memperbaiki nya.seharus thn besok dana yg ada utk anggaran yg lain nya .sebaik nya sesuatu yg dibangun atau dibuat harus bertahan sampai puluhan tahun,hingga dana yg ada bisa utk yg lainnya.🙏",tiap anggaran yg dikeluarkan harus benar diawasijgn sampai pengeluaran yg cukup besar tidak sesuai dg hasil dan tiap tahun itu itu saja yg harus dianggarkan dan diperbaikicontoh nya utk pembangunan jalanbelum setahun sudah rusakthn besok dianggarkan lagi utk memperbaiki nyaseharus thn besok dana yg ada utk anggaran yg lain nya sebaik nya sesuatu yg dibangun atau dibuat harus bertahan sampai puluhan tahunhingga dana yg ada bisa utk yg lainnya,anggaran yg dikeluarkan diawasijgn pengeluaran yg sesuai dg hasil yg dianggarkan diperbaikicontoh nya utk pembangunan jalanbelum setahun rusakthn besok dianggarkan utk memperbaiki nyaseharus thn besok dana yg utk anggaran yg nya nya yg dibangun bertahan puluhan tahunhingga dana yg utk yg,anggar yg keluar diawasijgn keluar yg sesuai dg hasil yg anggar diperbaikicontoh nya utk bangun jalanbelum tahun rusakthn besok anggar utk baik nyaseharus thn besok dana yg utk anggar yg nya nya yg bangun tahan puluh tahunhingga dana yg utk yg,anggar diawasijgn sesuai hasil anggar diperbaikicontoh utk bangun jalanbelum rusakthn besok anggar utk nyaseharus thn besok dana utk anggar bangun tahan puluh tahunhingga dana utk
"pemain cadangan jd starting line bisa apa, cuma buat ngegas mbg-nya wowo/ plh bikin gaduh.",pemain cadangan jd starting line bisa apa cuma buat ngegas mbgnya wowo plh bikin gaduh,pemain cadangan jd starting line ngegas mbgnya wowo plh bikin gaduh,main cadang jd starting line ngegas mbgnya wowo plh bikin gaduh,main cadang jd starting line ngegas mbgnya wowo plh bikin gaduh
"ternyata utang negara kita 1300 triliun + bunganya, itu uangnya kalo ditebar bisa nutupin wilayah indonesia g ?

kita kalah sama negara nigeria di afrika sana, sdh mampu lepas dari imf. mereka  tdk punya hutang lagi.

miris, kalah sama negara di afrika",ternyata utang negara kita 1300 triliun bunganya itu uangnya kalo ditebar bisa nutupin wilayah indonesia g kita kalah sama negara nigeria di afrika sana sdh mampu lepas dari imf mereka tdk punya hutang lagi miris kalah sama negara di afrika,utang negara 1300 triliun bunganya uangnya kalo ditebar nutupin wilayah indonesia g kalah negara nigeria afrika sdh lepas imf tdk hutang miris kalah negara afrika,utang negara 1300 triliun bunga uang kalo tebar nutupin wilayah indonesia g kalah negara nigeria afrika sdh lepas imf tdk hutang miris kalah negara afrika,utang negara 1300 triliun bunga uang kalo tebar nutupin wilayah indonesia kalah negara nigeria afrika lepas imf hutang miris kalah negara afrika
"mentri keuangan yg lama itu cukup baik.  kalau bisa diperbaiki akan lebih baik, daripada pake yg baru, banyak kesombongan, baik pribadi maupun keluarganya. emang di negri ini cuman dia yg mampu ?",mentri keuangan yg lama itu cukup baik kalau bisa diperbaiki akan lebih baik daripada pake yg baru banyak kesombongan baik pribadi maupun keluarganya emang di negri ini cuman dia yg mampu,mentri keuangan yg diperbaiki pake yg kesombongan pribadi keluarganya emang negri cuman yg,tri uang yg baik pake yg sombong pribadi keluarga emang negri cuman yg,tri uang pake sombong pribadi keluarga emang negri cuman
