komentar,komentar_bersih,setelah_preprocesing
capek deh dengar orang dpr ini ngomong. mereka itu joget aja.,capek deh dengar orang dpr ini ngomong mereka itu joget aja,capek deh dengar orang dpr ngomong joget aja
"gw seneng gaya komunikasi menkeu seperti ini, jadi sedikit ngerti jalannya ekonomi. biasanya normatif bikin puyeng dan ngantuk.",gw seneng gaya komunikasi menkeu seperti ini jadi sedikit ngerti jalannya ekonomi biasanya normatif bikin puyeng dan ngantuk,gw seneng gaya komunikasi menkeu ngerti jalannya ekonomi normatif bikin puyeng ngantuk
yg 17/8 kabarnya mana ??????,yg 178 kabarnya mana,yg 178 kabarnya
cuma rapat gini aja gaji selangit ?,cuma rapat gini aja gaji selangit,rapat gini aja gaji selangit
"intinya realisasi di lapangan dari dana yg di anggarkan jangan di korupsi, legislatif,eksekutif bahkan yudikatif masih banyak yang kong kalikong buat kkn di tambah biaya dn culture poltik yang mahal/kotor. tiru aja china sama singapore, hukuman mati buat koruptor haqul yakin bakal maju indonesia dengan sda yang sangat kaya.",intinya realisasi di lapangan dari dana yg di anggarkan jangan di korupsi legislatifeksekutif bahkan yudikatif masih banyak yang kong kalikong buat kkn di tambah biaya dn culture poltik yang mahalkotor tiru aja china sama singapore hukuman mati buat koruptor haqul yakin bakal maju indonesia dengan sda yang sangat kaya,intinya realisasi lapangan dana yg anggarkan korupsi legislatifeksekutif yudikatif kong kalikong kkn biaya dn culture poltik mahalkotor tiru aja china singapore hukuman mati koruptor haqul maju indonesia sda kaya
kita kawak terus jangan sampai 378 😂😂😂😂😂😂😂😂😂,kita kawak terus jangan sampai 378,kawak 378
bumn tidak menghasilkan jadi keuangan gx naik,bumn tidak menghasilkan jadi keuangan gx naik,bumn menghasilkan keuangan gx
"naikin gaji pns, tni, polri",naikin gaji pns tni polri,naikin gaji pns tni polri
"menteri baru,kog sda dipanggil dpt,mas gibran kog blom pernah ya..aneh kan ????!!",menteri barukog sda dipanggil dptmas gibran kog blom pernah yaaneh kan,menteri barukog sda dipanggil dptmas gibran kog blom yaaneh
sudah sudah lah dpr ngomong saja gak ada bukti,sudah sudah lah dpr ngomong saja gak ada bukti,dpr ngomong gak bukti
bhs jga solusi byr hutang,bhs jga solusi byr hutang,bhs jga solusi byr hutang
yaelah itu dpr yang ngomong kemarin ke ausie kunjungan kerja malah ada sesi jalan-jalan dan marathon,yaelah itu dpr yang ngomong kemarin ke ausie kunjungan kerja malah ada sesi jalanjalan dan marathon,yaelah dpr ngomong kemarin ausie kunjungan kerja sesi jalanjalan marathon
indonesia harus efisiensi angota dpr yg terlalu banyak yg menjadi beban rakyat,indonesia harus efisiensi angota dpr yg terlalu banyak yg menjadi beban rakyat,indonesia efisiensi angota dpr yg yg beban rakyat
"dpr kalau rapat jago ujung nya ,meras anggaran negara,nitip proyek harus dapat vie .setelah nya ketawa ketiwi joget ria",dpr kalau rapat jago ujung nya meras anggaran negaranitip proyek harus dapat vie setelah nya ketawa ketiwi joget ria,dpr rapat jago ujung nya meras anggaran negaranitip proyek vie nya ketawa ketiwi joget ria
sangat meragukan kemampuan menkeu purbaya,sangat meragukan kemampuan menkeu purbaya,meragukan kemampuan menkeu purbaya
gimana kabarnya dugaan bagi bagi dana csr bi untuk komisi xi??,gimana kabarnya dugaan bagi bagi dana csr bi untuk komisi xi,gimana kabarnya dugaan dana csr bi komisi xi
buat setiap desa pabrik utk menyerap tenaga kerja,buat setiap desa pabrik utk menyerap tenaga kerja,desa pabrik utk menyerap tenaga kerja
dpr bisa ngomong soal pakai uang demgan efisien. untuk dpr sendiri gede bener.,dpr bisa ngomong soal pakai uang demgan efisien untuk dpr sendiri gede bener,dpr ngomong pakai uang demgan efisien dpr gede bener
"mekanisme evaluasi untuk wakil rakyat:
penilaian tahunan: kinerja setiap anggota dpr dipublikasikan ke masyarakat.
reward & punishment:
– anggota dengan kinerja tinggi mendapat penghargaan atau insentif moral.
– anggota yang mangkir atau berkinerja buruk diproses sesuai kode etik & dapat tidak dicalonkan kembali.
transparansi publik: seluruh laporan kinerja & keuangan dpr diunggah di portal resmi dan bisa diakses rakyat.",mekanisme evaluasi untuk wakil rakyat penilaian tahunan kinerja setiap anggota dpr dipublikasikan ke masyarakat reward punishment – anggota dengan kinerja tinggi mendapat penghargaan atau insentif moral – anggota yang mangkir atau berkinerja buruk diproses sesuai kode etik dapat tidak dicalonkan kembali transparansi publik seluruh laporan kinerja keuangan dpr diunggah di portal resmi dan bisa diakses rakyat,mekanisme evaluasi wakil rakyat penilaian tahunan kinerja anggota dpr dipublikasikan masyarakat reward punishment – anggota kinerja penghargaan insentif moral – anggota mangkir berkinerja buruk diproses sesuai kode etik dicalonkan transparansi publik laporan kinerja keuangan dpr diunggah portal resmi diakses rakyat
"sumber pendapatan apbn dari pajak >80% terlalu memeras rakyat, kemana sumber pnbp dari negara kita yg kaya sda nya sperti hasil tambang, hasil laut dll.",sumber pendapatan apbn dari pajak 80 terlalu memeras rakyat kemana sumber pnbp dari negara kita yg kaya sda nya sperti hasil tambang hasil laut dll,sumber pendapatan apbn pajak 80 memeras rakyat kemana sumber pnbp negara yg kaya sda nya sperti hasil tambang hasil laut dll
bener itu,bener itu,bener
hapus stafsus,hapus stafsus,hapus stafsus
"dpr ngeraguin kerja orang lain padahal mereka lebih parah 😂
izin kerja tau taunya lagi foto foto alay di tempat mewah 😂😂😂",dpr ngeraguin kerja orang lain padahal mereka lebih parah izin kerja tau taunya lagi foto foto alay di tempat mewah,dpr ngeraguin kerja orang parah izin kerja tau taunya foto foto alay mewah
" @dwiwandakamil9378 kasarannya gini , jadi anggota dpr aja bisa dari lulusan sma , 
bumn lulusan d3 s1 s2 s3 , 
ya kali orang2 dpr pada ngerti sama bahasa orang2 bumn",dwiwandakamil9378 kasarannya gini jadi anggota dpr aja bisa dari lulusan sma bumn lulusan d3 s1 s2 s3 ya kali orang2 dpr pada ngerti sama bahasa orang2 bumn,dwiwandakamil9378 kasarannya gini anggota dpr aja lulusan sma bumn lulusan d3 s1 s2 s3 ya kali orang2 dpr ngerti bahasa orang2 bumn
"iya gk guna juga dpr, banyak banget dpr ri aja hampir 600, ntah apa kerjanya",iya gk guna juga dpr banyak banget dpr ri aja hampir 600 ntah apa kerjanya,iya gk dpr banget dpr ri aja 600 ntah kerjanya
" @dwiwandakamil9378  setuju,,, bisanya cuma nyinyiran orang lain.,,spt peribahasa ""gajah di pelupuk mata tak tampak , semut di seberang lautan tampak """,dwiwandakamil9378 setuju bisanya cuma nyinyiran orang lainspt peribahasa gajah di pelupuk mata tak tampak semut di seberang lautan tampak,dwiwandakamil9378 setuju bisanya nyinyiran orang lainspt peribahasa gajah pelupuk mata semut seberang lautan
"betul kerjaannya cuma menghambat kemajuan negara  sjaa,",betul kerjaannya cuma menghambat kemajuan negara sjaa,kerjaannya menghambat kemajuan negara sjaa
dpr pintar ngomong dan pintar korupsi. coba bikin undang2 korupsi hukum mati,dpr pintar ngomong dan pintar korupsi coba bikin undang2 korupsi hukum mati,dpr pintar ngomong pintar korupsi coba bikin undang2 korupsi hukum mati
cieee ada yg ga jadi marathon nih,cieee ada yg ga jadi marathon nih,cieee yg ga marathon nih
hutang itu gara2 dpr makan uang terlalu besar perbulan katanya bisa miliraran,hutang itu gara2 dpr makan uang terlalu besar perbulan katanya bisa miliraran,hutang gara2 dpr makan uang perbulan miliraran
indonesia (c)emas!!!!!,indonesia cemas,indonesia cemas
maafkan kalau aku apriori untuk keduanya😮,maafkan kalau aku apriori untuk keduanya,maafkan apriori
"1 dollar us
1ringgit malysia
1bath thailand 
1reyal saudi
1yuan china
1rupiah indonesia apakah ada.itulah gambaran uang kita rp ri ga punya kekuatan.",1 dollar us 1ringgit malysia 1bath thailand 1reyal saudi 1yuan china 1rupiah indonesia apakah adaitulah gambaran uang kita rp ri ga punya kekuatan,1 dollar us 1ringgit malysia 1bath thailand 1reyal saudi 1yuan china 1rupiah indonesia adaitulah gambaran uang rp ri ga kekuatan
"ramli loe bawa2, nyatanya di depak dulu itu, hahahahaha",ramli loe bawa2 nyatanya di depak dulu itu hahahahaha,ramli loe bawa2 depak hahahahaha
"hapus sajalah dpr,cukup mpr sajalah,ga usah ada dpr,keuangan negara pasti meningkat terusss👍👍",hapus sajalah dprcukup mpr sajalahga usah ada dprkeuangan negara pasti meningkat terusss,hapus dprcukup mpr sajalahga dprkeuangan negara meningkat terusss
kalian dpr itu yang efesien. jangan makan uang rakyat aja loe pade,kalian dpr itu yang efesien jangan makan uang rakyat aja loe pade,dpr efesien makan uang rakyat aja loe pade
"saran saya, klw negara g mampu bayar utangdan klw mau lunas mintak bantuan ajah sama rakyat untuk melunasi, khususnya pengusaha dan pekerja, saya pribadi sial nyumbang 4 juta, klw di kalikan ajh berapa juta pekerja dan pengusaha saya yakin langsung lunas kurangnya negara yang nambah, asal terang benderang kelolahnya, dengan begitu kaum buruh g akan di kenakan pph lagi, dan ekonomi negara langsung membaik, bisah jadi langsung jadi indonesia emas",saran saya klw negara g mampu bayar utangdan klw mau lunas mintak bantuan ajah sama rakyat untuk melunasi khususnya pengusaha dan pekerja saya pribadi sial nyumbang 4 juta klw di kalikan ajh berapa juta pekerja dan pengusaha saya yakin langsung lunas kurangnya negara yang nambah asal terang benderang kelolahnya dengan begitu kaum buruh g akan di kenakan pph lagi dan ekonomi negara langsung membaik bisah jadi langsung jadi indonesia emas,saran klw negara g bayar utangdan klw lunas mintak bantuan ajah rakyat melunasi pengusaha pekerja pribadi sial nyumbang 4 juta klw kalikan ajh juta pekerja pengusaha langsung lunas kurangnya negara nambah terang benderang kelolahnya kaum buruh g kenakan pph ekonomi negara langsung membaik bisah langsung indonesia emas
"hanya anies baswedan solusinya🎉
tapi sayang, ini konoha sulit buat orang cerdas dan jujur buat maju😅",hanya anies baswedan solusinya tapi sayang ini konoha sulit buat orang cerdas dan jujur buat maju,anies baswedan solusinya sayang konoha sulit orang cerdas jujur maju
oooo udah balik dari sydney?,oooo udah balik dari sydney,oooo udah sydney
"mohon bapak & ibu pejabat negara, kami "" rakyat butuh lapangan pekerjaan """,mohon bapak ibu pejabat negara kami rakyat butuh lapangan pekerjaan,mohon pejabat negara rakyat butuh lapangan pekerjaan
"pertanyaannya trll berbasa basi gmn mo cepat gerak dan action, lgsg aja atuh bapak kalo nanyaah",pertanyaannya trll berbasa basi gmn mo cepat gerak dan action lgsg aja atuh bapak kalo nanyaah,pertanyaannya trll berbasa basi gmn mo cepat gerak action lgsg aja atuh kalo nanyaah
"pajak turunin, harga kebutuhan ikut turun rakyat sejahtra",pajak turunin harga kebutuhan ikut turun rakyat sejahtra,pajak turunin harga kebutuhan turun rakyat sejahtra
"sangat menarik yang disampaikan anggota dewan yang terhormat ini, bahas mengenai alokasi anggaran, namun seakan-akan taken for granted program2 yang diampu oleh kementerian/ dinas terkait bener2 jalan tanpa kebocoran. baiknya mungkin ya penjelasannya dari end to end, dari hulu alokasi anggaran sampai dengan realisasinya, outcomenya dapet tidak? ini bicaranya ngawang2 semuanya. qiqiqiqi",sangat menarik yang disampaikan anggota dewan yang terhormat ini bahas mengenai alokasi anggaran namun seakanakan taken for granted program2 yang diampu oleh kementerian dinas terkait bener2 jalan tanpa kebocoran baiknya mungkin ya penjelasannya dari end to end dari hulu alokasi anggaran sampai dengan realisasinya outcomenya dapet tidak ini bicaranya ngawang2 semuanya qiqiqiqi,menarik anggota dewan terhormat bahas alokasi anggaran seakanakan taken for granted program2 diampu kementerian dinas terkait bener2 jalan kebocoran baiknya ya penjelasannya end to end hulu alokasi anggaran realisasinya outcomenya dapet bicaranya ngawang2 qiqiqiqi
yg penting jgn minta anggaran.,yg penting jgn minta anggaran,yg jgn anggaran
dpr sok sok an,dpr sok sok an,dpr sok sok an
"yg membuat negara banyak hutang juga termasuk beban lu para dpr ,,tukang cerita dan drama ,,berkacalah,tunjangan terlalu banyak belum lagi instasi lainnya sama aja sih coba mau gak lo cuman dapet gaji bersih tanpa tunjangan 50 juta ,,pasti gak mau kan lu",yg membuat negara banyak hutang juga termasuk beban lu para dpr tukang cerita dan drama berkacalahtunjangan terlalu banyak belum lagi instasi lainnya sama aja sih coba mau gak lo cuman dapet gaji bersih tanpa tunjangan 50 juta pasti gak mau kan lu,yg negara hutang beban lu dpr tukang cerita drama berkacalahtunjangan instasi aja sih coba gak lo cuman dapet gaji bersih tunjangan 50 juta gak lu
"enak ya, terima gaji dengan non job, karyawan tak berguna yg tidak hadir.",enak ya terima gaji dengan non job karyawan tak berguna yg tidak hadir,enak ya terima gaji non job karyawan berguna yg hadir
jangan keras keras suhu. minimal skill satu dulu 😂,jangan keras keras suhu minimal skill satu dulu,keras keras suhu minimal skill
"dilihat serta didengar dari sekilas pendapat dari para anggota dpr,,sepertinya dpr hanya menjadi penghalang kerja menteri keuangan dan kemenkeu nya,,dpr ngribet i",dilihat serta didengar dari sekilas pendapat dari para anggota dprsepertinya dpr hanya menjadi penghalang kerja menteri keuangan dan kemenkeu nyadpr ngribet i,didengar sekilas pendapat anggota dprsepertinya dpr penghalang kerja menteri keuangan kemenkeu nyadpr ngribet i
"kerjaannya, menghambat kebijakan, itulah dp r",kerjaannya menghambat kebijakan itulah dp r,kerjaannya menghambat kebijakan dp r
koment diatas bener semua. 😂,koment diatas bener semua,koment diatas bener
"yang harus di segerakan , pak dewan undang undang hukum mati koruptor , perampasan aset !!!!!!",yang harus di segerakan pak dewan undang undang hukum mati koruptor perampasan aset,segerakan dewan undang undang hukum mati koruptor perampasan aset
"punsi dpr  itu cuman bahas uan ,bukan bahas kesejahteraan rakyat",punsi dpr itu cuman bahas uan bukan bahas kesejahteraan rakyat,punsi dpr cuman bahas uan bahas kesejahteraan rakyat
"betapa bahagianya kita bila 1usd = 1rp
😊😊😊",betapa bahagianya kita bila 1usd 1rp,betapa bahagianya 1usd 1rp
anggota mpr aja dpr 😂,anggota mpr aja dpr,anggota mpr aja dpr
"semua orang bisa ,
cuma tinggal mental dan keberanian yg tulus untuk rakyat indonesia yg belum ada saat ini, 
 semoga cepat muncul",semua orang bisa cuma tinggal mental dan keberanian yg tulus untuk rakyat indonesia yg belum ada saat ini semoga cepat muncul,orang tinggal mental keberanian yg tulus rakyat indonesia yg semoga cepat muncul
"kelebihan bayar ""abah""",kelebihan bayar abah,kelebihan bayar abah
anies pinter bikin jalan mulus jadi berlobang  buat nampung air😂,anies pinter bikin jalan mulus jadi berlobang buat nampung air,anies pinter bikin jalan mulus berlobang nampung air
​ @srikandijalanan hoam 😂 😂,​ srikandijalanan hoam,​ srikandijalanan hoam
"apa pejabat mau rakyat bertindak ganas seperti nepal,",apa pejabat mau rakyat bertindak ganas seperti nepal,pejabat rakyat bertindak ganas nepal
omong kosong semuanya,omong kosong semuanya,omong kosong
"ekonomi negara akan maju klau uangnya tidk di korupsi boss. gimana mau maju klo isinya pejabat korupsi, kalian cuma bisa korupsi, lalu hutang,  hbus itu peras rakyat lewat pajak buat bayar hutang negara. kocak",ekonomi negara akan maju klau uangnya tidk di korupsi boss gimana mau maju klo isinya pejabat korupsi kalian cuma bisa korupsi lalu hutang hbus itu peras rakyat lewat pajak buat bayar hutang negara kocak,ekonomi negara maju klau uangnya tidk korupsi boss gimana maju klo isinya pejabat korupsi korupsi hutang hbus peras rakyat pajak bayar hutang negara kocak
"herannya itu semua ini didiamkan selama ber dekade, baik dpr dan menkeu, sama2 salah, yang akhirnya menjadi bola salju, seharusnya reformasi trias politica, semoga ini semua ada karmanya",herannya itu semua ini didiamkan selama ber dekade baik dpr dan menkeu sama2 salah yang akhirnya menjadi bola salju seharusnya reformasi trias politica semoga ini semua ada karmanya,herannya didiamkan ber dekade dpr menkeu sama2 salah bola salju reformasi trias politica semoga karmanya
jangan kepdean banyak janji dulu pak mnkiu  tapi aku berharap bisa terlaksana sesuai janji anda 👍,jangan kepdean banyak janji dulu pak mnkiu tapi aku berharap bisa terlaksana sesuai janji anda,kepdean janji mnkiu berharap terlaksana sesuai janji
